Brand,Phone,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
LG667,B2000,True,False,2005.0,Q1,73.0,104.0,43.0,15.9,1.5,16.2,,,,,,
LG667,B2050,True,False,2005.0,Q3,72.0,105.0,44.0,15.9,1.5,15.7,,,,,,
LG667,B2070,True,False,2005.0,Q3,78.0,104.0,40.0,14.0,1.6,19.9,,,,,,
LG667,B2100,True,False,2005.0,Q2,73.0,103.0,43.0,16.0,1.5,16.4,,,,,,
LG667,B2150,True,False,2005.0,,73.0,105.0,44.0,15.9,1.6,17.9,,,,,,
LG667,B2250,True,False,2005.0,Q3,85.0,107.0,45.0,17.0,1.8,21.2,,,,,,
LG667,BL20 New Chocolate,False,False,2009.0,"September. Released 2009, October",115.0,106.9,50.8,12.3,2.4,32.8,,,,,,
LG667,BL40 New Chocolate,False,False,2009.0,"August. Released 2009, September",129.0,128.0,51.0,10.9,4.01,57.8,345.0,800.0,21:9,217.0,,
LG667,Bello II,False,False,2015.0,"July. Released 2015, September",155.0,140.8,71.6,9.6,5.0,68.3,480.0,854.0,16:9,196.0,Android 5.1.1 ,4.0
LG667,C105,True,True,2010.0,"July. Released 2010, Q4",94.0,114.5,59.0,13.0,2.2,22.5,176.0,220.0,,128.0,,
LG667,C1100,True,False,2004.0,Q1,85.0,82.0,43.0,22.5,,,,,,,,
LG667,C1150,True,False,2005.0,November,99.0,82.0,43.0,23.5,,,,,,,,
LG667,C1200,True,False,2004.0,Q1,81.0,82.0,45.0,22.0,,,,,,,,
LG667,C1400,True,False,2004.0,Q1,92.0,88.5,47.2,24.6,,,96.0,64.0,,,,
LG667,C199,True,True,2012.0,Q2,92.0,109.4,59.8,12.5,2.3,25.0,240.0,320.0,4:3,174.0,,
LG667,C2100,True,False,2005.0,Q1,90.0,88.0,47.0,24.0,,,96.0,64.0,,,,
LG667,C2200,True,False,2004.0,Q3,99.0,84.0,46.0,23.5,,,96.0,64.0,,,,
LG667,C2500,True,False,2005.0,December,80.0,101.0,46.0,18.0,1.5,15.6,,,,,,
LG667,C2600,True,False,2006.0,December,88.0,102.0,46.5,18.5,1.6,17.4,,,,,,
LG667,C299,True,True,2013.0,,101.0,110.0,70.0,10.0,2.2,19.5,240.0,320.0,4:3,182.0,,
LG667,C310,True,True,2010.0,"December. Released 2010, December",92.5,116.0,61.9,11.9,2.4,24.8,240.0,320.0,4:3,167.0,,
LG667,C3100,True,False,2004.0,Q2,85.0,104.0,44.0,17.9,,,,,,,,
LG667,C320 InTouch Lady,False,False,2010.0,"November. Released 2010, November",106.0,91.0,63.0,16.4,2.4,31.1,,,,,,
LG667,C3300,True,False,2005.0,Q1,93.0,91.0,47.0,25.0,,,96.0,64.0,,,,
LG667,C3310,True,False,2005.0,Q1,92.0,88.8,47.3,24.5,,,96.0,64.0,,,,
LG667,C3320,True,False,2005.0,Q1,90.0,88.0,47.0,24.0,,,96.0,64.0,,,,
LG667,C3380,True,False,2005.0,Q1,85.0,88.8,47.3,24.0,,,96.0,64.0,,,,
LG667,C3400,True,False,2005.0,Q1,93.0,91.0,47.0,24.0,,,96.0,64.0,,,,
LG667,C360,True,True,2011.0,,102.0,113.0,61.9,12.9,2.3,23.4,320.0,240.0,4:3,174.0,,
LG667,C365,True,True,2011.0,,102.0,113.6,61.9,12.9,2.3,23.3,320.0,240.0,4:3,174.0,,
LG667,C375 Cookie Tweet,True,True,2011.0,Q2,92.5,113.0,61.0,12.0,2.3,23.8,240.0,320.0,4:3,174.0,,
LG667,C710 Aloha,True,True,,,118.0,109.0,54.5,12.9,3.2,49.1,,,,,Android 2.1 ,
LG667,C900 Optimus 7Q ,False,False,2010.0,"October. Released 2010, October",178.0,119.5,59.5,15.2,3.5,49.0,480.0,800.0,5:3,267.0,Microsoft Windows Phone 7,
LG667,CB630 Invision,False,False,2008.0,August. Released 2008,81.0,103.0,53.0,12.0,2.2,27.5,,,,,,
LG667,CE110,False,True,2007.0,September,81.0,89.4,47.0,21.0,1.56,18.7,96.0,64.0,,,,
LG667,CF360,False,False,2009.0,"February. Released 2009, February",100.0,101.0,48.0,17.0,2.0,25.6,240.0,320.0,4:3,200.0,,
LG667,CG180,True,False,2007.0,October,67.0,99.0,45.0,14.7,1.5,16.3,,,,,,
LG667,CP150,True,False,2008.0,November. Released 2009,81.0,87.9,47.0,18.8,1.5,17.6,96.0,64.0,,,,
LG667,CT810 Incite,False,False,2008.0,"November. Released 2009, Q2",119.9,107.0,55.9,14.0,3.0,42.8,240.0,400.0,5:3,155.0,Microsoft Windows Mobile 6.1 Professional,
LG667,CU500,False,False,2006.0,July,105.0,96.5,49.5,19.3,,,96.0,96.0,,,,
LG667,CU500V,False,False,2007.0,January,105.0,97.0,50.0,19.3,,,96.0,96.0,,,,
LG667,CU515,False,False,2007.0,October,95.0,96.0,49.5,18.0,2.0,26.5,96.0,64.0,,,,
LG667,CU720 Shine,False,False,2007.0,October,119.0,100.0,50.5,15.0,2.2,29.7,,,,,,
LG667,CU915 Vu,False,False,2008.0,March. Released 2008,89.6,108.0,54.9,13.0,3.0,43.2,,,,,,
LG667,Candy,False,False,2018.0,August,152.0,146.3,73.2,8.2,5.0,64.4,720.0,1280.0,16:9,294.0,Android 7.1.2 ,4.0
LG667,Connect 4G MS840,False,False,2012.0,"January. Released 2012, February",137.0,117.0,62.0,11.7,4.0,61.3,480.0,840.0,16:9,242.0,Android 2.3.5 ,2.0
LG667,Cookie 3G T320,False,False,2010.0,August. Released 2010,92.5,103.0,57.0,11.9,2.8,41.4,,,,,,
LG667,Cookie Lite T300,True,True,2010.0,"August. Released 2010, September",77.0,95.8,50.5,11.9,2.4,36.9,,,,,,
LG667,Cookie Style T310,True,True,2010.0,"August. Released 2010, October",86.5,102.9,56.9,11.9,2.8,41.5,,,,,,
LG667,Cookie WiFi T310i,True,True,2010.0,"December. Released 2010, December",86.5,102.9,56.9,11.9,2.8,41.5,,,,,,
LG667,Cosmos 2,False,False,2011.0,"July. Released 2011, July",130.0,112.0,52.0,16.0,2.0,21.3,240.0,320.0,4:3,200.0,,
LG667,Cosmos Touch VN270,False,False,2010.0,"November. Released 2010, December",123.9,103.0,53.0,17.0,2.8,40.9,240.0,400.0,5:3,167.0,,
LG667,DoublePlay,False,False,2011.0,"October. Released 2011, October",192.0,121.9,64.0,16.0,3.5,46.8,320.0,480.0,,,Android 2.3 ,
LG667,E2,True,True,,,,,,,,,240.0,320.0,4:3,,Android OS,
LG667,E900 Optimus 7,False,False,2010.0,"October. Released 2010, November",157.0,125.0,59.8,11.5,3.8,55.0,480.0,800.0,5:3,246.0,Microsoft Windows Phone 7,
LG667,EGO T500,True,True,2011.0,"June. Released 2011, June",86.0,106.0,58.0,12.0,2.8,39.5,240.0,320.0,4:3,143.0,,
LG667,EGO Wi-Fi,False,False,2011.0,"June. Released 2011, June",86.0,106.0,58.0,12.0,2.8,39.5,240.0,320.0,4:3,,,
LG667,Enact VS890,False,False,2013.0,"August. Released 2013, August",169.8,111.0,52.3,15.8,4.0,78.4,480.0,800.0,5:3,233.0,Android 4.1.2 ,2.0
