Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
Mate RS Porsche Design,4000,1300 EUR,Kirin 970 (10 nm),Mali-G72 MP12,OLED,Huawei441,False,False,2018.0,March,183.0,152.9,72.5,8.5,6.0,83.5,1440.0,2880.0,18:9,538.0,Android 8.1 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate S,2700,350 EUR,Kirin 935 (28 nm),Mali-T628 MP4,OLED,Huawei441,False,False,2015.0,"September. Released 2015, October",156.0,149.8,75.3,7.2,5.5,73.9,1080.0,1920.0,16:9,401.0,Android 5.1.1 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
MatePad 10.4,7250,250 EUR,Kirin 810 (7 nm),Mali-G52 MP6,IPS,Huawei441,False,False,2020.0,April 23,450.0,245.2,155.0,7.4,10.4,81.0,1200.0,2000.0,5:3,224.0,Android 10,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,False,5.1
MatePad 10.4 (2022),7250,350 EUR,Kirin 820 5G (7nm),Mali-G57 (6-core),IPS,Huawei441,False,False,2022.0,May 13,460.0,245.2,155.0,7.5,10.4,81.0,1200.0,2000.0,5:3,224.0,Android 10,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.1
MatePad 10.8,7500,300 EUR,Kirin 990 (7 nm),Mali-G76 MP16,IPS,Huawei441,False,False,2020.0,July 30,500.0,257.0,170.0,7.2,10.8,77.4,1600.0,2560.0,16:10,280.0,Android 10,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.1
MatePad 11 (2021),7250,400 EUR,Qualcomm SM8250 Snapdragon 865 (7 nm+),Adreno 650,IPS,Huawei441,False,False,2021.0,June 02,485.0,253.8,165.3,7.3,10.95,82.9,2560.0,1600.0,16:10,276.0,HarmonyOS 2.0,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.1
MatePad 11 (2023),7250,300 EUR,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm)Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Adreno 650,IPS,Huawei441,False,False,2023.0,March 23,480.0,253.7,165.3,7.2,11.0,83.1,2560.0,1600.0,16:10,275.0,HarmonyOS 3.1,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.1
MatePad 11.5,7700,290 EUR,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Adreno 644,TFT,Huawei441,False,False,2023.0,July 13,499.0,260.9,176.8,6.9,11.5,84.8,1440.0,2200.0,3:2,229.0,Harmony OS 3.1,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,Yes
MatePad 5G,7250,400 EUR,Kirin 820 5G (7nm),Mali-G57 (6-core),IPS,Huawei441,False,False,2020.0,September 16,460.0,245.2,155.0,7.5,10.4,81.0,1200.0,2000.0,5:3,224.0,Android 10,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.1
MatePad Pro 10.8 (2019),7250,450 EUR,Kirin 990 (7 nm+),Mali-G76 MP16,IPS,Huawei441,False,False,2019.0,November 25,460.0,246.0,159.0,7.2,10.8,86.5,2560.0,1600.0,16:10,280.0,Android 10,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,False,5.1
